text;label
berlinangan;0
berlubang;0
berlubang-lubang;0
bermadat;0
bermadu;0
bermasalah;0
bermegah-megah;0
bermesum;0
bermewah-mewah;0
bermewah-mewahan;0
bermuram;0
bermusuhan;0
bernafsu;0
bernoda;0
berolok-olok;0
berpaling;0
berpangku tangan;0
berpecah belah;0
berpenyakit;0
berpidana;0
berpisah;0
berpolemik;0
berpongah-pongah;0
berprasangka;0
berprasangka buruk;0
berpretensi;0
berpropaganda;0
berpura-pura;0
berpusing-pusing;0
bersalah;0
bersandiwara;0
bersikut-sikutan;0
bersikutan;0
bersilang sengketa;0
bersilangan;0
bersilat lidah;0
bersimpang siur;0
bersinggungan;0
bersitegang;0
berspekulasi;0
bersungut;0
bersungut-sungut;0
bersusah hati;0
bersyubhat;0
bertabrakan;0
bertanggung jawab;0
bertele-tele;0
bertengkar;0
bertentangan;0
berteriak;0
berteriak-teriak;0
bertikai;0
bertingkah;0
bertubrukan;0
bertumpang tindih;0
bertumpang-tindih;0
berulah;0
berulat;0
berunjuk rasa;0
berurusan;0
berusuh;0
berutang;0
berzina;0
berzinah;0
biadab;0
biang keladi;0
biang kerusuhan;0
biangnya;0
bimbang;0
binasa;0
bingung;0
bintik;0
blak-blakan;0
blokir;0
bocor;0
bocoran;0
bodoh;0
bogem;0
bohong;0
boikot;0
bokek;0
bolak-balik;0
bolong-bolong;0
bolos;0
bom;0
bombardir;0
bordil;0
borgol;0
borjuis;0
boro-boro;0
borok;0
borokan;0
boros;0
bosan;0
bt;0
bual;0
bualan;0
buangan;0
buas;0
bukan-bukan;0
buku hitam;0
bulan tua;0
bulan-bulanan;0
bulukan;0
bungkam;0
buntu;0
bunuh;0
bunuh diri;0
buron;0
buronan;0
buruh kasar;0
buruk;0
buruk sangka;0
busuk;0
busung lapar;0
buta huruf;0
butut;0
buyar;0
cabik;0
cabul;0
cacat;0
caci;0
caci maki;0
cacian;0
cacing;0
campur aduk;0
candu;0
canggung;0
cape;0
cape hati;0
capek;0
capek hati;0
caplok;0
cari muka;0
cari saja sendiri;0
cari sendiri;0
cari-cari kesalahan;0
carut;0
carut-marut;0
catut;0
catutan;0
cecar;0
cecaran;0
cedera;0
cek kosong;0
cekak;0
cekal;0
cekcok;0
cela;0
celaan;0
celaka;0
cemarkan;0
cemas;0
cemaskan;0
cemberut;0
cemburu;0
cemburuan;0
cengeng;0
cerai;0
cerai-berai;0
cercaan;0
ceroboh;0
cibir;0
cibiran;0
cidera;0
cincong;0
colong;0
comel;0
comelan;0
compang-camping;0
congkak;0
contek;0
contekan;0
copet;0
coreng;0
coreng-moreng;0
cuci otak;0
cuci uang;0
culik;0
cuma;0
curang;0
curi;0
curian;0
curiga;0
curigaan;0
dablek;0
dadakan;0
daftar hitam;0
daif;0
dajal;0
daki;0
dakwa;0
dakwaan;0
dalih;0
dampak;0
damprat;0
dampratan;0
dana talangan;0
darah dingin;0
darah tinggi;0
dauf;0
defisit;0
degenerasi;0
degeneratif;0
degradasi;0
dehidrasi;0
dekil;0
demo;0
demonstran;0
demonstrasi;0
demoralisasi;0
dendam;0
dendam kesumat;0
dengki;0
deportasi;0
derita;0
desak;0
desakan;0
desas-desus;0
destruksi;0
detonasi;0
detonator;0
deviasi;0
dhaif;0
dhalim;0
dholim;0
dhuafa;0
di bawah sadar;0
di bawah umur;0
diabaikan;0
diacak-acak;0
diadili;0
diadu domba;0
diadudombakan;0
diam-diam;0
diamankan;0
diamlah;0
diancam;0
diawasi;0
dibacok;0
dibakar;0
dibanding-bandingkan;0
dibangkrutkan;0
dibantah;0
dibantai;0
dibatalkan;0
dibatasi;0
dibawa kabur;0
dibawa-bawa;0
dibayang-bayangi;0
dibebankan;0
dibeberkan;0
dibeda-bedakan;0
dibelenggu;0
dibinasakan;0
diblokir;0
dibocorkan;0
dibodohi;0
dibohongi;0
diboikot;0
dibom;0
dibombardir;0
diborgol;0
dibuang;0
dibuat lagi;0
dibuat-buat;0
dibubarkan;0
dibungkam;0
dibunuh;0
dibutakan;0
dibuyarkan;0
dicabik;0
dicabik-canik;0
dicabuli;0
dicaci;0
dicaci maki;0
dicambuk;0
dicampakkan;0
dicampur aduk;0
dicampuradukkan;0
dicaplok;0
dicatut;0
dicecar;0
dicekal;0
dicekam;0
dicekik;0
dicela;0
dicelakai;0
dicemari;0
dicemaskan;0
dicemburui;0
dicerca;0
dicibir;0
dicolong;0
dicontek;0
dicopet;0
dicopot;0
dicoreng;0
dicuci otak;0
dicurangi;0
dicuri;0
dicurigai;0
didakwa;0
didakwakan;0
didalangi;0
didamprat;0
didepak;0
dideportasi;0
didera;0
didesak;0
didesas-desuskan;0
didhalimi;0
didholimi;0
didikte;0
didiskreditkan;0
didiskriminasi;0
didiskriminasikan;0
didiskualifikasi;0
didiskualifikasikan;0
diduai;0
diduakan;0
diduga;0
diduga-duga;0
didustai;0
didustakan;0
didzalimi;0
dieksekusi;0
dieksploitasi;0
diekspos;0
dieliminasi;0
diempaskan;0
dienyahkan;0
difitnah;0
diforsir;0
digampangkan;0
digampar;0
diganggu;0
diganggu-gugat;0
diganjal;0
diganjar;0
digasak;0
digauli;0
digebuk;0
digebuki;0
digedor;0
digedor-gedor;0
digegerkan;0
digelandang;0
digelapkan;0
digembar-gemborkan;0
digemparkan;0
digempur;0
digencet;0
digentayangi;0
digerayangi;0
digerebek;0
digerecoki;0
digerepe;0
digerogoti;0
digertak;0
digondol;0
digorok;0
digosipkan;0
digrecoki;0
digugat;0
digugurkan;0
digulingkan;0
diguna-guna;0
diguna-gunai;0
diguncang;0
digunjingkan;0
digusur;0
dihabisi;0
dihadang;0
dihajar;0
dihalang;0
dihalang-halangi;0
dihalangi;0
dihambat;0
dihambur-hamburkan;0
dihamburkan;0
dihancurkan;0
dihancurleburkan;0
dihanguskan;0
dihantam;0
dihantui;0
diharamkan;0
dihardik;0
dihasut;0
dihempas;0
dihempaskan;0
dihina;0
dihujat;0
dihukum;0
diisolasi;0
dijajah;0
dijambak;0
dijambret;0
dijangkiti;0
dijarah;0
dijebak;0
dijebloskan;0
dijegal;0
dijerat;0
dijiplak;0
dikacaubalaukan;0
dikacaukan;0
dikafirkan;0
dikalahkan;0
dikambinghitamkan;0
dikasari;0
dikata-katai;0
dikatai;0
dikebiri;0
dikecam;0
dikecewakan;0
dikejar-kejar;0
dikekang;0
dikelabui;0
dikeluhkan;0
dikemplang;0
dikenai biaya;0
dikenakan biaya;0
dikentutin;0
dikerangkeng;0
dikerdilkan;0
dikeroyok;0
dikeruhkan;0
dikesalkan;0
dikesampingkan;0
dikhawatirkan;0
dikhianati;0
dikibuli;0
dikompori;0
dikontaminasi;0
dikorbankan;0
dikorup;0
dikorupsi;0
dikotori;0
dikritik;0
diktator;0
dikucilkan;0
dikufurkan;0
dikungkung;0
dikuntit;0
dikurangi;0
dikurung;0
dikutuk;0
dilabrak;0
dilacurkan;0
dilaknat;0
dilalaikan;0
dilambat-lambatkan;0
dilampiaskan;0
dilanda;0
dilanggar;0
dilarang;0
dilawan;0
dilebih-lebihkan;0
dilecehkan;0
diledakkan;0
diledek;0
diledeki;0
dilema;0
dilemahkan;0
dilematik;0
dilematis;0
dilenyapkan;0
dilindas;0
dilucuti;0
diludahi;0
dilukai;0
dilumpuhkan;0
dilupakan;0
dimabuk;0
dimaki;0
dimandulkan;0
dimanipulasi;0
dimanipulasikan;0
dimarahi;0
dimonopoli;0
dimuntahkan;0
dimusuhi;0
dimutilasi;0
dinamit;0
dinistakan;0
dinodai;0
diobrak-abrik;0
diombang-ambing;0
diomeli;0
dipaksa;0
dipaksakan;0
dipalak;0
dipalaki;0
dipalsukan;0
dipanas-panasi;0
dipancung;0
dipasung;0
dipecat;0
diperbudak;0
diperburuk;0
diperdaya;0
diperdebatkan;0
diperepot;0
diperkosa;0
diperlama;0
diperlambat;0
diperlemah;0
dipermasalahkan;0
diperparah;0
dipersadis;0
dipersakit;0
dipersalah;0
dipersalahkan;0
dipersoalkan;0
dipersukar;0
dipersulit;0
dipersuram;0
dipersusah;0
dipertakut;0
dipertaruhkan;0
dipertarungkan;0
dipertegang;0
dipertengkarkan;0
diperumit;0
diperusuh;0
dipidana;0
dipidanakan;0
dipinggirkan;0
dipojokkan;0
dipreteli;0
dipropaganda;0
diprotes;0
diprovokasi;0
dipukul;0
dipukuli;0
dipulangkan;0
dipungut;0
dipungut iuran;0
dipungut uang;0
dipusingkan;0
diracun;0
diracuni;0
diragukan;0
dirajam;0
dirampas;0
dirampok;0
diratapi;0
dirazia;0
direkayasa;0
diremehkan;0
direndahkan;0
direnggut;0
direpotkan;0
diresahkan;0
diributkan;0
diringkus;0
dirobek;0
dirobek-robek;0
dirobohkan;0
dirongrong;0
dirugikan;0
dirumahkan;0
dirumitkan;0
dirundung;0
dirunyamkan;0
dirusak;0
dirusakkan;0
diruwetkan;0
disabotase;0
disadap;0
disakiti;0
disalahartikan;0
disalahgunakan;0
disalahkan;0
disamarkan;0
disambar;0
disambit;0
disandera;0
disanggah;0
disangka;0
disangkal;0
disangkutpautkan;0
disangsikan;0
disantet;0
disatroni;0
disayangkan;0
disayat;0
disayat-sayat;0
disfungsi;0
disharmoni;0
disia-siakan;0
disidang;0
disiden;0
disidik;0
disiksa;0
disikut;0
disilet;0
disindir;0
disinggung;0
disingkirkan;0
disintegrasi;0
disinyalir;0
disisihkan;0
disita;0
diskors;0
diskotek;0
diskotik;0
diskredit;0
diskriminasi;0
diskriminatif;0
diskualifikasi;0
disobek;0
disobek-sobek;0
disodomi;0
disogok;0
disomasi;0
disombongkan;0
disorder;0
distorsi;0
distreskan;0
disuap;0
disudutkan;0
disulut;0
disumpahi;0
disumpel;0
disundut;0
disusahi;0
disusahkan;0
disusupi;0
disusupkan;0
disusutkan;0
ditabok;0
ditabrak;0
ditagih;0
ditahan;0
ditakut-takuti;0
ditakuti;0
ditalak;0
ditampar;0
ditangisi;0
ditangkap;0
ditawan;0
ditekan;0
ditelan mentah-mentah;0
ditelanjangi;0
ditelantarkan;0
ditembaki;0
ditempeleng;0
ditentang;0
diteriaki;0
diterjang;0
diteror;0
ditertawai;0
ditertawakan;0
ditewaskan;0
ditiduri;0
ditikam;0
ditilang;0
ditilap;0
ditilep;0
ditimpa;0
ditimpakan;0
ditimpuk;0
ditimpuki;0
ditindas;0
ditinggalkan;0
ditinjau lagi;0
ditinju;0
ditipu;0
ditiru-tiru;0
ditodong;0
ditolak;0
ditomboki;0
ditonjok;0
ditoyor;0
dituding;0
dituduh;0
dituduhkan;0
ditulari;0
ditularkan;0
ditumbalkan;0
ditumpulkan;0
ditunda;0
ditunda-tunda;0
ditunggangi;0
dituntut;0
diturunkan;0
ditusuk;0
ditusuk-tusuk;0
ditutup-tutupi;0
ditutupi;0
diurungkan;0
diusik;0
diusir;0
dizalimi;0
dizinahi;0
dizinai;0
dobrak;0
dompleng;0
don juang;0
dongkol;0
dosa;0
dugaan;0
duka;0
duka cita;0
dukun;0
dumping;0
dungu;0
dunia hitam;0
durhaka;0
durhana;0
dusta;0
dzalim;0
ecek-ecek;0
edan;0
edan-edanan;0
egois;0
egoisme;0
egoistis;0
ekshibisionis;0
ekshibisionisme;0
eksploitasi;0
eksplosif;0
ekspos;0
ekstasi;0
ekstrem;0
ekstrim;0
elak;0
eliminasi;0
emang;0
embat;0
embel-embel;0
emghantam;0
emoh;0
emosi;0
emosional;0
empet;0
enak saja;0
endemi;0
eneg;0
enek;0
engap;0
enggan;0
entah;0
enyah;0
enyahkan;0
epidemi;0
epilepsi;0
erangan;0
eror;0
erosi;0
erotik;0
erotis;0
erpusi;0
error;0
fakir;0
fals;0
fanatik;0
fanatisme;0
fasad;0
fasakh;0
fasik;0
fasis;0
fasisme;0
fatal;0
feodal;0
feodalisme;0
fiktif;0
fitnah;0
fitnahan;0
formalin;0
formalitas;0
forsir;0
foya-foya;0
friksi;0
frontal;0
frustasi;0
gaduh;0
gadungan;0
gagal;0
galak;0
galau;0
gamang;0
gampangan;0
gampar;0
ganas;0
ganggu;0
ganggu gugat;0
gangguan;0
gangster;0
ganja;0
ganjalan;0
ganjen;0
ganjil;0
gap;0
gaptek;0
gara-gara;0
garong;0
gasab;0
gasak;0
gawat;0
geblek;0
gebuk;0
gedebak-gedebuk;0
gedor;0
gegabah;0
geger;0
gejala;0
gelagap;0
gelagapan;0
gelagat;0
gelandangan;0
gelap;0
geledah;0
gelepar;0
geletak;0
gelisah;0
gelonggong;0
gelonggongan;0
gembar-gembor;0
gembel;0
gemblung;0
gembong;0
gembos;0
gembrot;0
gembul;0
gemetar;0
gempa;0
gempar;0
gempor;0
gempur;0
gempuran;0
gendeng;0
genderuwo;0
geng;0
genosida;0
gentayangan;0
genting;0
gep;0
gerabak-gerubuk;0
gerah;0
geram;0
geraman;0
gerayan;0
gerebek;0
gerecok;0
germo;0
gerogot;0
gerombol;0
gerombolan;0
gersang;0
gertak;0
gertakan;0
gerutu;0
getir;0
gibah;0
gigolo;0
gila;0
goblok;0
gombal;0
gombalan;0
gondok;0
gondol;0
gonjang-ganjing;0
gonore;0
gonta-ganti;0
gontok-gontokan;0
gores;0
gorok;0
gosip;0
gosong;0
goyah;0
gracok;0
grogi;0
gugat;0
gugatan;0
gugup;0
gulana;0
gulma;0
guna-guna;0
gundah;0
gundah gulana;0
gundik;0
gunjing;0
gunjingan;0
gusar;0
hajar;0
halangan;0
halusinasi;0
hama;0
hambat;0
hambatan;0
hambur;0
hancur;0
hancur lebur;0
hancur-hancuran;0
hangus;0
hantam;0
hantaman;0
hantu;0
hanya;0
hanyut;0
haram;0
hardik;0
hardikan;0
harusnya;0
hasad;0
hasud;0
hasut;0
hasutan;0
hedonis;0
hedonisme;0
hengkang;0
heran;0
heroin;0
herpes;0
hilang;0
himpitan;0
hina;0
hinaan;0
hingar-bingar;0
hiperaktif;0
hiperbol;0
hiperbola;0
hiperbolis;0
hiperseksual;0
hipersensitif;0
hipokrit;0
homoseks;0
homoseksual;0
horor;0
hostes;0
hujan lebat;0
hujat;0
hujatan;0
hukuman;0
hura-hura;0
hutang;0
iblis;0
idiot;0
ilegal;0
imbak;0
imbal;0
imbas;0
imitasi;0
imitatif;0
imitator;0
impase;0
imperfek;0
imperialis;0
imperialisme;0
impitan;0
impor;0
impoten;0
impotensi;0
impulsif;0
inadaptabilitas;0
inca;0
indisipliner;0
individualisme;0
individualistis;0
indoktrinasi;0
indolen;0
inefisiensi;0
infeksi;0
inferior;0
inferioritas;0
infertil;0
infertilitas;0
inflasi;0
infleksibilitas;0
ingkar;0
inkarsunah;0
inkompatibel;0
inkonsisten;0
inkonsistensi;0
inlander;0
inses;0
insiden;0
insinuasi;0
instabilitas;0
internir;0
interupsi;0
intimidasi;0
intimidatif;0
intoleran;0
intrik;0
invalid;0
irasional;0
irasionalitas;0
iri;0
iri hati;0
ironi;0
ironis;0
isak;0
isolasi;0
istan;0
isu;0
jadi bumerang;0
jahanam;0
jahat;0
jahil;0
jahiliah;0
jahiliyah;0
jail;0
jajah;0
jajahan;0
jalang;0
jamah;0
jambak;0
jambret;0
jambretan;0
jampi-jampi;0
jangan asal;0
jangan diganggu;0
jangan sampai;0
jangan sekarang;0
jangan tanya;0
jangan-jangan;0
jangankan;0
janggal;0
jarah;0
jarahan;0
jeblok;0
jebol;0
jegal;0
jelangkung;0
jelantah;0
jelek;0
jemawa;0
jengkel;0
jenuh;0
jerit;0
jeritan;0
jiplak;0
jiplakan;0
joki;0
jongos;0
jontor;0
jorok;0
jotos;0
judes;0
judi;0
justru;0
kabur;0
kacau;0
kacau balau;0
kacau-balau;0
kacung;0
kadaluarsa;0
kadaluwarsa;0
kafir;0
kagok;0
kaku;0
kalah;0
kalang kabut;0
kalap;0
kalau tidak;0
kalibut;0
kalicau;0
kalut;0
kambing hitam;0
kambuh;0
kambuhan;0
kandas;0
kanibal;0
kanibalisme;0
kapitalis;0
karam;0
karsinogen;0
karsinogenik;0
kartu kuning;0
kartu merah;0
karusi;0
karut;0
karut-marut;0
kasak-kusuk;0
kasar;0
kasus;0
katastrofe;0
kebakaran;0
kebandelan;0
kebangetan;0
kebangkrutan;0
kebanjiran;0
keberatan;0
kebiadaban;0
kebinasaan;0
kebiri;0
keblinger;0
kebobolan;0
kebobrokan;0
kebocoran;0
kebodohan;0
kebohongan;0
keborosan;0
kebuntuan;0
keburu;0
keburukan;0
kebusukan;0
kebut-kebutan;0
kebuyaran;0
kecam;0
kecaman;0
kecamuk;0
kecanggungan;0
kecapean;0
kecapekan;0
kecelakaan;0
kecemasan;0
kecemburuan;0
kecengengan;0
keceplosan;0
kecerewetan;0
kecerobohan;0
kecewa;0
kecil hati;0
kecoh;0
kecolongan;0
kecongkakan;0
kecopetan;0
keculasan;0
kecurangan;0
kecurian;0
kecurigaan;0
kedaifan;0
kedaluarsa;0
keder;0
kedhaifan;0
kedhaliman;0
kedholiman;0
kediktatoran;0
kedok;0
kedunguan;0
kedurhakaan;0
kedurjanaan;0
kedzaliman;0
keedanan;0
keegoisan;0
keekstreman;0
keekstriman;0
keemohan;0
keengganan;0
kefakiran;0
kefanaan;0
kefanatikan;0
kefasikan;0
kefatalan;0
kefrsutasian;0
kegaduhan;0
kegagalan;0
kegalauan;0
keganasan;0
keganjilan;0
kegawatan;0
kegelisahan;0
kegentingan;0
kegeraman;0
kegersangan;0
kegilaan;0
kegoblokan;0
kegugupan;0
keguguran;0
kegulanaan;0
kegundahan;0
kegusaran;0
kehabisan;0
kehampaan;0
kehancuran;0
kehilangan;0
kehinaan;0
keingkaran;0
kejahatan;0
kejalangan;0
kejam;0
kejelekan;0
kejengkelan;0
keji;0
kejorokan;0
kekafiran;0
kekalahan;0
kekalapan;0
kekalutan;0
kekanak-kanakan;0
kekang;0
kekangan;0
kekecewaan;0
kekejaman;0
kekejian;0
kekeliruan;0
kekerasan;0
kekeringan;0
kekeruhan;0
kekesalan;0
kekhawatiran;0
kekhilafan;0
kekikiran;0
kekisruhan;0
kekotoran;0
kekufuran;0
kelabakan;0
kelabu;0
kelahi;0
kelainan;0
kelaknatan;0
kelalaian;0
kelambanan;0
kelambatan;0
kelancangan;0
kelaparan;0
kelayapan;0
kelelahan;0
kelemahan;0
kelengahan;0
kelepasan;0
kelesuan;0
keletihan;0
kelewat batas;0
kelewatan;0
keliaran;0
kelicikan;0
kelimbungan;0
kelimpungan;0
kelinglungan;0
keliru;0
keloyoan;0
kelu;0
keluh;0
keluhan;0
kelumpuhan;0
kelupaan;0
keluyuran;0
kemaksiatan;0
kemalingan;0
kemarahan;0
kematian;0
kemelaratan;0
kemelut;0
kemerosotan;0
kemesuman;0
kemiskinan;0
kemplang;0
kemplangan;0
kemunafikan;0
kemunduran;0
kemungkaran;0
kemuraman;0
kemurkaan;0
kemurtadan;0
kemurungan;0
kemustahilan;0
kemusyrikan;0
kenajisan;0
kenakalan;0
kendala;0
kenekatan;0
kenestapaan;0
kengerian;0
kenistaan;0
kentut;0
keonaran;0
kepailitan;0
kepalsuan;0
kepanasan;0
kepandiran;0
kepanikan;0
keparat;0
kepayahan;0
kepedihan;0
kepelitan;0
kepicikan;0
kepincangan;0
kepongahan;0
kepura-puraan;0
keracunan;0
keraguan;0
kerakusan;0
kerampokan;0
kerancuan;0
kerapuhan;0
kerawanan;0
kerdurjanaan;0
kerentanan;0
kerepotan;0
keresahan;0
keretakan;0
kerewelan;0
keributan;0
kericuhan;0
kerisauan;0
kerontang;0
keropos;0
keroyok;0
keroyokan;0
kerugian;0
kerumitan;0
keruntuhan;0
kerunyaman;0
kerusakan;0
kerusuhan;0
keruwetan;0
kesablengan;0
kesadisan;0
kesadisannya;0
kesakitan;0
kesal;0
kesalahan;0
kesambet;0
kesandung;0
kesangsian;0
kesasar;0
kesewenang-wenangan;0
kesia-siaan;0
kesialan;0
kesiangan;0
kesimpangsiuran;0
kesinisan;0
kesintingan;0
kesirikan;0
kesleboran;0
kesombongan;0
kesorean;0
kestagnanan;0
kesukaran;0
kesulitan;0
kesuraman;0
kesurupan;0
kesusahan;0
kesyirikan;0
ketakaburan;0
ketakutan;0
ketamakan;0
ketar-ketir;0
ketegangan;0
keterbatasan;0
ketergantungan;0
ketergesa-gesaan;0
keterlaluan;0
keterlambatan;0
keterpaksaan;0
ketersiksaan;0
ketertindasan;0
ketertinggalan;0
keteter;0
keteteran;0
ketidakefisienan;0
ketidakpastian;0
ketidakpercayaan;0
ketiduran;0
ketimbang;0
ketimpangan;0
ketinggalan;0
ketipu;0
ketololan;0
ketuaan;0
ketularan;0
ketumpangtindihan;0
ketus;0
kewalahan;0
kezaliman;0
khalwat;0
khawatir;0
khawatirkan;0
khianat;0
khilaf;0
kiamat;0
kibul;0
kikir;0
kilah;0
kisruh;0
klepto;0
kleptomania;0
klise;0
koar;0
kocar-kacir;0
kok;0
kolaps;0
koloni;0
kolonial;0
kolonialisme;0
kolonis;0
kolot;0
kolusi;0
komat-kamit;0
komplain;0
kompleks;0
komplikasi;0
komplotan;0
komunis;0
konflik;0
konfrontasi;0
kongkalikong;0
konspirasi;0
konspiratif;0
konsumtif;0
kontaminasi;0
kontra;0
kontradiksi;0
kontradiktif;0
kontraproduktif;0
kontroversi;0
kontroversial;0
korban;0
korupsi;0
koruptor;0
kotor;0
kout;0
kriminal;0
kriminalis;0
kriminalisasi;0
kriminalitas;0
krisis;0
kritik;0
kritis;0
kroni;0
kronis;0
krusial;0
kualat;0
kuatir;0
kudeta;0
kufur;0
kufur nikmat;0
kumal;0
kuman;0
kumel;0
kumuh;0
kungkung;0
kusta;0
kusut;0
kutu;0
kutuk;0
kutukan;0
labil;0
labrak;0
lacur;0
laknat;0
lalai;0
lalim;0
lama;0
lamban;0
lambat;0
lancang;0
langgar-melanggar;0
lara;0
layu;0
ledek;0
leha-leha;0
lelah;0
lelet;0
lemah;0
lemas;0
lemes;0
lengah;0
lengser;0
lenyap;0
lesbi;0
lesbian;0
lesu;0
letih;0
letoi;0
liar;0
licik;0
limbah;0
limbung;0
ling-lung;0
lintah darat;0
lirih;0
longsor;0
lontang-lantung;0
lonte;0
loyo;0
luka;0
luluh lantak;0
lumpuh;0
lunta;0
luntang-lantung;0
lupa;0
lusuh;0
mabuk;0
mabuk-mabukan;0
macet;0
madat;0
madharat;0
mafia;0
mahal;0
main-main;0
makar;0
maki;0
makian;0
makruh;0
maksiat;0
mala;0
malapetaka;0
malaprakt2k;0
malapraktik;0
malas;0
maling;0
malnutrisi;0
malpraktek;0
malpraktik;0
mamandekkan;0
mamasygulkan;0
mampus;0
mana ada;0
mandek;0
mandul;0
manghantam;0
mangkel;0
mangkir;0
mangu;0
maniak;0
manipulasi;0
manipulatif;0
manipulator;0
marah;0
marah-marah;0
masa bodoh;0
masai;0
masalah;0
masam;0
masgul;0
masokhis;0
masokis;0
masygul;0
materialis;0
materialisme;0
materialistis;0
matre;0
mayat;0
melabrak;0
melacur;0
melacurkan;0
melaknat;0
melalaikan;0
melambat;0
melambat-lambatkan;0
melambatkan;0
melanda;0
melanggar;0
melantur;0
melarang;0
melarat;0
melarikan;0
melas;0
melebih-lebihkan;0
melecehkan;0
meledak;0
meledakkan;0
meledek;0
meledeki;0
melelahkan;0
melemah;0
melemahkan;0
melengahkan;0
melengos;0
melenyapkan;0
melepuh;0
melewati batas;0
melindas;0
melintir;0
melompong;0
melongo;0
melucuti;0
meludah;0
meludahi;0
melukai;0
meluluhlantakkan;0
melumpuhkan;0
melupakan;0
memaki;0
memaksa;0
memaksa-maksa;0
memaksakan;0
memalak;0
memalaki;0
memalingkan;0
memalsukan;0
memalukan;0
memanas-manasi;0
memandulkan;0
memanipulasi;0
memantati;0
memarahi;0
memasung;0
membacok;0
membahayakan;0
membalas dendam;0
membandel;0
membanding-bandingkan;0
membangkang;0
membangkrutkan;0
membanjiri;0
membantah;0
membatalkan;0
membatasi;0
membebankan;0
membeberkan;0
membekas;0
membelenggu;0
membelit;0
membentur;0
memberatkan;0
memberhentikan;0
memberondong;0
membiaskan;0
memblokir;0
membocorkan;0
membodohi;0
membohongi;0
membolos;0
membom;0
membombardir;0
membosankan;0
membual;0
membuang;0
membuang-buang waktu;0
membuat-buat;0
membungkam;0
membunuh;0
memburuk;0
membusuk;0
membutakan;0
membuyarkan;0
memecah belah;0
memecah-belah;0
memecahbelahkan;0
memecat;0
memekakkan;0
memelas;0
memeloroti;0
memfitnah;0
memforsir;0
memidanakan;0
memilukan;0
meminta-minta;0
memiskinkan;0
memojokkan;0
memonopoli;0
memorak-porandakan;0
memoroti;0
memperbodoh;0
memperbudak;0
memperburuk;0
memperbuyar;0
memperdaya;0
mempergunjingkan;0
memperkosa;0
memperlama;0
memperlamban;0
memperlambat;0
memperlemah;0
mempermasalahkan;0
memperolok-olok;0
memperolok-olokkan;0
memperparah;0
mempersadis;0
mempersakit;0
mempersalahkan;0
mempersoalkan;0
mempersukar;0
mempersulit;0
mempersura;0
mempersuram;0
mempersusah;0
mempertakut;0
mempertaruhkan;0
mempertengkarkan;0
memperumit;0
memperusuh;0
mempreteli;0
memprihatinkan;0
mempropaganda;0
mempropagandakan;0
memprotes;0
memprovokasi;0
memukul;0
memukuli;0
memulangkan;0
memundurkan;0
memunggungkan;0
memungkari;0
memungkiri;0
memuntahkan;0
memupuskan;0
memuram;0
memurkai;0
memurtadkan;0
memusingkan;0
memusnahkan;0
memusuhi;0
memutarbalikkan;0
menabrak;0
menafikan;0
menagih;0
menakut-nakuti;0
menakuti;0
menalak;0
menampar;0
menangis;0
menangisi;0
menarikturunkan;0
mencabik-cabik;0
mencabuli;0
mencaci;0
mencaci maki;0
